Empid,Department,Rating,Feedback
101,HR,5,"Excellent support from HR team"
102,Finance,4,"Quick response to queries"
103,IT,3,"Average technical assistance"
104,Marketing,2,"Needs improvement in communication"
105,Sales,5,"Outstanding sales strategies"
106,HR,4,"Helpful during onboarding"
107,Finance,3,"Satisfactory experience"
108,IT,1,"Delayed issue resolution"
109,Marketing,5,"Creative campaign ideas"
110,Sales,2,"Targets are unrealistic"
111,HR,4,"Excellent support from HR team"
112,Finance,4,"Quick response to queries"
113,IT,3,"Average technical assistance"
114,Marketing,2,"Needs improvement in communication"
115,Sales,5,"Outstanding sales strategies"
116,HR,4,"Helpful during onboarding"
117,Finance,3,"Satisfactory experience"
118,IT,1,"Delayed issue resolution"
119,Marketing,5,"Creative campaign ideas"
120,Sales,2,"Targets are unrealistic"          
